               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.045734,            0.013724,                   0,             0.85095,             0.95172,             0.96098,             0.48026,            0.025323,            0.024867,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.045725,            0.012403,                   0,             0.90949,             0.95833,             0.94662,             0.31371,            0.027568,            0.023827,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.053219,            0.011205,                   0,             0.90949,             0.95833,             0.94662,             0.31371,            0.027568,            0.023827,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.051051,            0.011094,                   0,             0.95914,             0.97843,              0.9934,             0.41015,            0.028552,            0.023156,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.049383,            0.012691,                   0,             0.95914,             0.97843,              0.9934,             0.41015,            0.028552,            0.023156,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.050965,            0.010134,                   0,             0.93065,                   1,               0.995,              0.5018,            0.025414,            0.023667,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.051352,            0.014547,                   0,             0.93065,                   1,               0.995,              0.5018,            0.025414,            0.023667,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.048881,            0.011964,                   0,             0.99039,                   1,               0.995,             0.42099,            0.026562,             0.02272,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.048925,            0.011524,                   0,             0.99039,                   1,               0.995,             0.42099,            0.026562,             0.02272,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.050849,            0.011919,                   0,               0.456,             0.58333,             0.49434,             0.17929,            0.028705,             0.02331,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.047196,            0.011189,                   0,               0.456,             0.58333,             0.49434,             0.17929,            0.028705,             0.02331,                   0,           0.0069063,           0.0069063,           0.0069063
